,job_title,company,location,salary,summary,link
236,Principal Data Scientist - LifeLock + Norton,Symantec,"Tempe, AZ 85281",,"SYMC), a global leader in cybersecurity, operates one of the world’s largest cyber intelligence networks allowing organizations, governments, and people to…",https://indeed.com//rc/clk?jk=819d494cc664d826&fccid=02c811688545ab89&vjs=3
237,Senior Data Scientist,Bills.com,"Tempe, AZ",,"Freedom Financial Network is a family of companies that takes a people-first approach to financial services, using technology to empower consumers to overcome…",https://indeed.com//rc/clk?jk=1c8a8f6f6355015e&fccid=38c4e76d8a773447&vjs=3
238,Statistical Analyst,American Heart Association,"Tempe, AZ 85282 (Cyprus Southwest area)",,Are you ready to join an organization where you can make an extraordinary impact every day? Imagine all Americans enjoying ideal cardiovascular health free of…,https://indeed.com//rc/clk?jk=4ae65f6f19e89bb5&fccid=fb509292145a023d&vjs=3
239,Data Scientist,Emailage,"Chandler, AZ",,Emailage is growing at an outstanding rate and we are seeking a skilled and enthusiastic Data Scientist to join our team. High-end hardware to work with.,https://indeed.com//rc/clk?jk=1e19c73dfb177d58&fccid=82676b4e8def97b6&vjs=3
240,Data Science - NLP,Third Republic,"Atlanta, GA 30301 (Buckhead area)",,"Data Science - NLP - Atlanta, GA - Atlanta.If you're an out-of-the-box thinker who lobes bringing creative, interdisciplinary ideas on how to deliver a high…",https://indeed.com//rc/clk?jk=ae1b8cdd69071eab&fccid=643b9433027b4c5d&vjs=3
241,Mathematical Statistician (Data Scientist)- (Direct Hire),Centers for Disease Control and Prevention,"Atlanta, GA 30305 (Buckhead area)",,Department of Health And Human Services.Centers for Disease Control and Prevention.The Centers for Disease Control and Prevention (CDC) is the agency…,https://indeed.com//rc/clk?jk=2cb97872ea18957e&fccid=3e901f592b439cea&vjs=3
242,Statistician (Data Scientist) ( Direct Hire),Centers for Disease Control and Prevention,"Atlanta, GA 30305 (Buckhead area)",,Department of Health And Human Services.Centers for Disease Control and Prevention.The Centers for Disease Control and Prevention (CDC) is the agency…,https://indeed.com//rc/clk?jk=60955783a5e9cfe3&fccid=3e901f592b439cea&vjs=3
243,Senior Data Scientist,UNITED PARCEL SERVICE,"Atlanta, GA 30328",,The UPS Advanced Technology Group is driving quantitative insights about the UPS network of today and tomorrow.Advanced knowledge of R or Python.,https://indeed.com//rc/clk?jk=aed26d483935155a&fccid=fcf465e707df52fb&vjs=3
244,Data Scientist - Fraud Anatytics,Verizon,"Alpharetta, GA 30022",,This position is for “Fraud Detection and Prevention” by applying cutting edge machine learning techniques and AI technology.Even better if you have:,https://indeed.com//rc/clk?jk=19263946d6798a83&fccid=f7029f63fe5c906e&vjs=3
245,Data Scientist,Southern Company,"Atlanta, GA 30309 (Midtown area)",,"This position is responsible for creating, enhancing, and deploying statistical and analytical models using both structured and unstructured data to inform…",https://indeed.com//rc/clk?jk=70ae68d659aedfee&fccid=a062342ea4e0a858&vjs=3
246,Senior Data Analyst,Purchasing Power,"Atlanta, GA 30309 (Midtown area)",,Purchasing Power is a fantastic place to work because:Purchasing Power was founded on the belief that we could empower people and provide the means for them to…,https://indeed.com//rc/clk?jk=902226cd4a58e5aa&fccid=7578b5dd39935643&vjs=3
247,"Data Scientist, Technology",The Home Depot,"Atlanta, GA",,The Data Scientist will develop the analytical infrastructure and computational capabilities that drive decision making and impact the bottom line performance…,https://indeed.com//rc/clk?jk=a64064da6535b867&fccid=82e58e9861d48566&vjs=3
248,Data Scientist,United Technologies Corp. Headquarters,"Atlanta, GA 30326 (Buckhead area)",,"GA-Corp-Digital 3500 Lenox Road NE Suite 1400, Atlanta, GA, 30326 USA.United Technologies Corporation (UTC) has a deep history of innovation that brings…",https://indeed.com//rc/clk?jk=060a8be8930686ec&fccid=d2b6bfba86ea80d6&vjs=3
249,Data Scientist,"U.S. Xpress Enterprises, Inc.","Atlanta, GA",,We are a digital transportation solutions provider that use cutting-edge technology to push the envelope to bring unmatched quality to our customers.,https://indeed.com//rc/clk?jk=c3cb9c4d73199ac8&fccid=d921f5450b899369&vjs=3
250,Federal - Data Scientist,Accenture,"Ellenwood, GA",,"People who use data to solve hard problems. Including ones that did not exist a few years ago. We believe a mix of data, analytics, automation and responsible…",https://indeed.com//rc/clk?jk=352cbd23ba3afb01&fccid=a4e4e2eaf26690c9&vjs=3
251,Data Scientist,Southern Company,"Atlanta, GA 30309 (Midtown area)",,"This position is responsible for creating, enhancing, and deploying statistical and analytical models using both structured and unstructured data to inform…",https://indeed.com//rc/clk?jk=70ae68d659aedfee&fccid=a062342ea4e0a858&vjs=3
252,DATA SCIENTIST,The Home Depot,"Atlanta, GA",,The Data Scientist will develop the analytical infrastructure and computational capabilities that drive decision making and impact the bottom line performance…,https://indeed.com//rc/clk?jk=dcd9cf7be26ba9af&fccid=82e58e9861d48566&vjs=3
253,Lead Health Scientist (Data Scientist),Centers for Disease Control and Prevention,"Atlanta, GA 30307",,Department of Health And Human Services. Centers for Disease Control and Prevention. The Centers for Disease Control and Prevention (CDC) is the agency…,https://indeed.com//rc/clk?jk=c9309ac70308758d&fccid=3e901f592b439cea&vjs=3
254,Data Scientist - Fraud Anatytics,Verizon,"Alpharetta, GA 30022",,This position is for “Fraud Detection and Prevention” by applying cutting edge machine learning techniques and AI technology. Even better if you have:,https://indeed.com//rc/clk?jk=19263946d6798a83&fccid=f7029f63fe5c906e&vjs=3
255,"Data Scientist (PYTHON, HADOOP)",SoftVision - TAMS,"Johns Creek, GA 30097",,WE ARE A TRANSFORMATIONAL PARTNER. We marry design and engineering language in ways that produce impactful and memorable experience journeys.,https://indeed.com//rc/clk?jk=991039b717520ea1&fccid=8e4ade64e8feb2ea&vjs=3
256,Data Scientist - Virtual,BCD Travel Corporate,"Atlanta, GA",,In this role you're key in establishing us as leaders in providing intelligence to our clients and internal stakeholders. Keep your eyes and ears open:,https://indeed.com//rc/clk?jk=481eb0c260890d8a&fccid=6781744e41089d9b&vjs=3
257,Data Scientist,MRI Software,"Atlanta, GA 30326 (Buckhead area)",,"MRI Software is seeking a Data Scientist to join our growing team! Following our recent acquisition of AI startup, Leverton, we are expanding our offering to…",https://indeed.com//rc/clk?jk=1683e8087ac14a44&fccid=4974627ac3bc5640&vjs=3
258,Data Scientist,Grid Dynamics,"Atlanta, GA",,We are seeking a Data Science engineer for joining our team. The team is starting a new project for analytic and image/text processing in e-commerce catalog.,https://indeed.com//rc/clk?jk=3ae57017ae0fde70&fccid=9e6cc9e51c2613ab&vjs=3
259,Data Scientists – Machine Learning,Brielle Technologies,"Alpharetta, GA",,"As a Senior Big Data Engineer on our Digital Analytics team, you will work on new technologies and find ways to meet our customers’ needs and make it easy for…",https://indeed.com//rc/clk?jk=b5900f9c349e1ef9&fccid=1eaccb082b10a196&vjs=3
260,Data Scientist (Jr. to Sr. Level),Piper Companies,"Seattle, WA 98104",,"Piper Companies is currently looking for Data Scientist for a position based in Seattle, WA.Please note- there are positions at various levels available*.",https://indeed.com//rc/clk?jk=decdf76e794c32e1&fccid=fc68da685e8aa986&vjs=3
261,Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences,Microsoft,"Redmond, WA",,Data Scientists at Microsoft help to improve the quality of experiences on our devices and services.We are looking for highly motivated and passionate Data…,https://indeed.com//rc/clk?jk=11baba484db23433&fccid=734cb5a01ee60f80&vjs=3
262,Data Scientist,Microsoft,"Redmond, WA",,"Do you like applying mathematics, statistics, and machine learning to data?Are you interested in finding attacks in enterprise networks?Here's a bit about us.",https://indeed.com//rc/clk?jk=45d2c93bdb61318c&fccid=734cb5a01ee60f80&vjs=3
263,"Data Scientist, Junior",Booz Allen Hamilton,"Seattle, WA 98101 (Downtown area)",,"Are you excited at the prospect of unlocking the secrets held by a data set?Are you fascinated by the possibilities presented by machine learning, artificial…",https://indeed.com//rc/clk?jk=0edfd708c19fcec8&fccid=4e041af1d0af1bc8&vjs=3
264,Data Scientist,BOEING,"Seattle, WA",,"This position supports managed programs demand forecasting for off platform, as well as 787 programs and is part of the Forecasting and New Business team.",https://indeed.com//rc/clk?jk=a65dc822edb34dd3&fccid=edae4285faf6c2f0&vjs=3
265,Data Scientist,Wish,"Seattle, WA 98103 (Green Lake - Wallingford area)",,Want to join our NEW centralized data science team working on company level data projects?Data driven decision-making is an integral part of life at Wish.,https://indeed.com//rc/clk?jk=a5d6fa3b7ff1023b&fccid=617690ce838507f3&vjs=3
266,"Data Scientist, Zillow Offers",Zillow Group,"Seattle, WA 98101 (Downtown area)",,Zillow is looking for an extraordinary Data Scientist to join a growing team.Zillow is on a mission to give consumers certainty and control when selling their…,https://indeed.com//rc/clk?jk=7f6b28670bfcbd0e&fccid=913e1b259c8d65e2&vjs=3
