job_title,company,location,salary
022: Data Science Lead - Dynamic Pricing,Dataspace,"Chicago, IL","$150,000 a year"
Sr. Data Scientist,TracFone Wireless,"Miami, FL","$70,900 - $92,170 a year"
Data Scientist (Churn),ViaSat,"Tempe, AZ","$68,344 - $109,350 a year"
Senior Data Scientist - Experience Strategy and Design,Wells Fargo,"Chandler, AZ","$108,383 - $140,901 a year"
AI Solutions Engineer,"Milestone Technologies, Inc.","Phoenix, AZ 85040 (South Mountain area)",$31 - $58 an hour
Data Scientist,Blue Apron,"New York, NY 10013 (Tribeca area)",$65 - $75 an hour
Data Scientist,Dentsu Aegis Network,"New York, NY","$63,031 - $145,000 a year"
Data Scientist,New York University,"New York, NY","$57,691 - $90,056 a year"
Data Scientist,Cottonwood Financial,"Irving, TX 75038","$74,000 a year"
Lead Data Scientist,Crestron,"Plano, TX","$45,158 - $104,138 a year"
"Artificial Intelligence, Senior Consultant - Applied Artificial Intelligence (Full Stack Developer)",Deloitte,"Dallas, TX 75201",$65 - $70 an hour
Senior Data Analyst / Data Scientist / Tableau Developer,1000bulbs.com,"Garland, TX 75041 (Orchard Hills area)","$70,000 - $90,000 a year"
Sr. Data Analyst,Home Point Financial Corporation,"Farmers Branch, TX","$110,000 - $115,000 a year"
Computer Vision and Deep Learning Researchers & Engineers,Samsung Research America,"Plano, TX","$110,000 - $115,000 a year"
Computer Vision and Deep Learning Researchers & Engineers,Samsung Research America,"Plano, TX","$110,000 - $115,000 a year"
Computer Vision and Deep Learning Researchers & Engineers,Samsung Research America,"Plano, TX","$110,000 - $115,000 a year"
Regional Head of Business Development - AI & Machine Learning Solutions,Xen.ai,"Dallas, TX",$30 - $35 an hour
Computer Vision and Deep Learning Researchers & Engineers,Samsung Research America,"Plano, TX","$110,000 - $115,000 a year"
Machine Learning Engineer,Tiger Analytics,"Dallas, TX","$110,000 - $115,000 a year"
Computer Vision and Deep Learning Researchers & Engineers,Samsung Research America,"Plano, TX","$110,000 - $115,000 a year"
Computer Vision and Deep Learning Researchers & Engineers,Samsung Research America,"Plano, TX","$110,000 - $115,000 a year"
Computer Vision and Deep Learning Researchers & Engineers,Samsung Research America,"Plano, TX","$110,000 - $115,000 a year"
Computer Vision and Deep Learning Researchers & Engineers,Samsung Research America,"Plano, TX","$110,000 - $115,000 a year"
Big Data Engineer,Scottline,"Irving, TX","$110,000 - $115,000 a year"
Computer Vision and Deep Learning Researchers & Engineers,Samsung Research America,"Plano, TX","$110,000 - $115,000 a year"
